,1979,,1980,,Jan.1981-Aug.1982,,Aug.1982-Nov.1983,,Nov.1983-Nov.1984,,Nov.1984-Nov.1985,,Nov.1985-Nov.1986,,Nov.1986-Nov.1987,,1988,1989,1990,1991,1992,1993,,,,,,,,,,1994,,,,,,,,,,1995,,,,,,,,,,1996,,,,,,,,,,1997,,,,,,,,,,1998,,,,,,,,,,1999,,,,,,,,,,2000,,,,,,,,,,2001,,,,,2002,,,,,2003,,,,,2004,,,,,2005,,,,,2006,,,,,2007,,,,,2008,,,,,2009,,,,,2010,,,,,2011,,,,,2012,,,,,2013,,,,,2014,,,,,2015,,,,,2016,,,,
,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Print,Broadcast,Status,Status,Status,Status,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Broadcast,A-Print,B-Broadcast,B-Print,C-Broadcast,C-Print,D-Broadcast,D-Print,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status,A-Legal,B-Political,C-Economic,Total Score,Status
Australia,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,1,0,1,3,0,2,9,F,1,1,1,0,1,3,0,0,7,F,1,1,1,1,1,3,0,0,8,F,1,1,1,1,1,3,1,1,10,F,1,1,1,1,1,5,0,0,10,F,1,1,1,1,1,5,0,0,10,F,1,1,1,1,1,5,0,0,10,F,1,1,1,1,1,5,0,0,10,F,0,3,7,10,F,3,5,6,14,F,3,4,7,14,F,4,7,7,18,F,5,8,6,19,F,6,9,6,21,F,6,8,7,21,F,6,9,7,22,F,6,9,7,22,F,5,9,7,21,F,4,10,7,21,F,4,10,7,21,F,5,10,7,22,F,5,10,7,22,F,6,10,7,23,F,6,9,7,22,F
Austria,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,2,2,10,2,2,0,0,1,19,F,2,2,8,2,2,0,0,2,18,F,3,3,2,2,0,0,0,2,12,F,3,3,2,2,0,0,0,2,12,F,3,3,2,2,0,2,0,0,12,F,3,3,2,2,0,2,0,0,12,F,3,3,2,2,0,2,0,0,12,F,3,4,2,3,0,2,0,0,14,F,10,6,8,24,F,11,6,6,23,F,9,8,6,23,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,5,21,F,8,8,6,22,F,8,9,6,23,F,8,8,6,22,F
Azerbaijan,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,NF,8,10,10,9,6,10,2,15,70,NF,10,9,9,10,6,10,4,11,69,NF,10,9,10,10,5,10,5,10,69,NF,12,10,10,15,5,15,2,5,74,NF,12,10,10,15,5,15,2,5,74,NF,11,10,10,15,5,15,2,5,73,NF,11,7,10,14,5,15,5,3,70,NF,12,12,13,13,6,12,5,3,76,NF,26,28,23,77,NF,22,28,23,73,NF,24,26,21,71,NF,23,27,22,72,NF,23,27,22,72,NF,24,29,22,75,NF,25,30,22,77,NF,25,31,22,78,NF,25,32,22,79,NF,26,31,22,79,NF,26,32,22,80,NF,27,33,22,82,NF,28,34,22,84,NF,29,36,22,87,NF,29,38,22,89,NF,29,39,22,90,NF
Bahamas,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,4,3,1,2,2,2,2,18,F,1,1,2,1,1,2,0,0,8,F,1,1,2,1,1,1,0,0,7,F,1,1,2,1,1,1,0,0,7,F,1,1,2,1,1,1,0,0,7,F,1,1,2,1,1,1,0,0,7,F,1,1,2,1,1,1,0,0,7,F,1,1,2,1,1,1,0,0,7,F,3,2,3,8,F,3,3,5,11,F,4,5,5,14,F,2,6,6,14,F,2,8,6,16,F,2,9,6,17,F,3,10,7,20,F,3,10,7,20,F,3,10,7,20,F,3,10,7,20,F,3,10,7,20,F,3,9,7,19,F,4,9,7,20,F,5,9,7,21,F,5,10,7,22,F,5,11,7,23,F
Bahrain,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,NF,10,8,10,8,4,9,5,6,60,PF,10,8,10,8,6,9,3,3,57,PF,10,10,10,10,7,10,0,3,60,PF,10,10,10,13,7,10,1,5,66,NF,12,12,10,13,7,10,1,1,66,NF,13,13,12,13,7,10,0,1,69,NF,15,13,15,14,7,10,0,1,75,NF,15,13,15,14,7,10,0,1,75,NF,26,24,25,75,NF,20,25,23,68,NF,22,25,23,70,NF,23,26,22,71,NF,24,26,22,72,NF,23,26,22,71,NF,24,27,20,71,NF,24,27,20,71,NF,24,27,20,71,NF,25,27,20,72,NF,28,35,21,84,NF,28,37,21,86,NF,28,37,22,87,NF,28,37,22,87,NF,28,37,22,87,NF,28,37,22,87,NF
Bangladesh,F,PF,F,PF,F,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,PF,NF,NF,NF,F,PF,3,3,8,7,8,8,5,10,52,PF,5,3,8,7,8,8,1,9,49,PF,5,3,8,7,8,9,1,8,49,PF,5,3,12,11,8,12,1,5,57,PF,5,3,15,11,8,13,1,1,57,PF,5,5,13,12,8,12,0,4,59,PF,13,5,11,10,6,7,3,5,60,PF,13,7,12,9,7,7,0,5,60,PF,16,38,9,63,NF,17,31,17,65,NF,19,31,18,68,NF,20,31,17,68,NF,20,31,17,68,NF,20,30,16,66,NF,22,30,16,68,NF,20,27,16,63,NF,18,22,16,56,PF,17,21,16,54,PF,15,21,16,52,PF,15,22,16,53,PF,15,23,16,54,PF,16,22,16,54,PF,18,27,16,61,NF,19,27,16,62,NF
Barbados,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,1,1,3,2,3,3,2,2,17,F,1,1,6,2,3,3,3,0,19,F,1,1,6,2,3,3,0,0,16,F,1,1,6,2,3,3,0,0,16,F,1,1,6,2,3,3,0,0,16,F,1,1,6,2,3,3,0,0,16,F,1,1,6,2,3,3,0,0,16,F,1,1,6,2,3,3,0,0,16,F,1,4,11,16,F,1,4,9,14,F,4,6,7,17,F,3,6,8,17,F,3,8,6,17,F,3,8,6,17,F,3,10,6,19,F,3,10,6,19,F,3,10,6,19,F,3,10,6,19,F,3,10,6,19,F,3,9,6,18,F,3,9,6,18,F,3,9,6,18,F,3,9,6,18,F,3,10,6,19,F
Belarus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,PF,6,7,10,8,8,8,5,14,66,NF,8,8,10,9,8,10,4,10,67,NF,8,8,10,9,6,9,5,15,70,NF,15,15,15,15,5,15,0,5,85,NF,15,15,15,15,5,15,5,5,90,NF,13,14,14,13,5,11,5,5,80,NF,13,13,14,14,5,11,5,5,80,NF,13,13,14,14,5,11,5,5,80,NF,26,31,25,82,NF,27,32,23,82,NF,26,30,28,84,NF,26,32,28,86,NF,27,33,28,88,NF,27,34,28,89,NF,28,35,28,91,NF,28,35,28,91,NF,29,35,28,92,NF,29,36,28,93,NF,29,36,28,93,NF,29,36,28,93,NF,29,36,28,93,NF,29,36,28,93,NF,29,34,28,91,NF,28,30,25,83,NF
Belgium,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,1,1,1,1,0,2,0,1,7,F,1,1,1,1,0,2,0,1,7,F,1,1,1,2,0,2,1,2,10,F,1,1,1,2,0,2,1,2,10,F,1,1,1,2,0,2,0,3,10,F,1,1,1,2,0,2,2,0,9,F,1,1,2,2,0,2,1,0,9,F,1,1,2,2,0,2,1,0,9,F,2,2,5,9,F,3,1,5,9,F,2,3,4,9,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,3,4,5,12,F,3,4,5,12,F,3,4,5,12,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,2,4,5,11,F,3,3,6,12,F
Belize,-,-,-,-,F,PF,F,PF,F,PF,F,PF,F,PF,F,PF,F,F,F,F,F,2,3,5,3,3,3,5,5,29,F,2,3,5,4,3,5,0,0,22,F,4,2,5,6,3,5,0,0,25,F,4,2,8,6,0,5,0,0,25,F,4,2,8,6,0,5,0,0,25,F,4,2,4,5,5,5,0,0,25,F,4,2,4,5,5,5,0,0,25,F,4,2,4,5,5,5,0,0,25,F,11,8,5,24,F,11,8,4,23,F,8,9,5,22,F,8,7,5,20,F,8,8,5,21,F,8,8,5,21,F,8,9,5,22,F,8,8,5,21,F,8,8,5,21,F,8,9,6,23,F,8,8,5,21,F,8,9,5,22,F,8,9,5,22,F,8,9,5,22,F,8,9,5,22,F,8,13,6,27,F
