HMIID,YEAR,WBCC,COWCC,UCDPID,ACTORID,STATUS,HMISTART,HMISTAPR,HMIEND,HMIENDPR,ENDTYPE,VIOSTART,VIOSTAPR,VIOEND,VIOENDPR,VIODURAT,CONFLICT,VIOLENCE,ISSUE,NONSTATE,POLARITY,FATALITY,AREA,AREAA,POPULAT,POPULATA,REGION,MEDIATE6,MEDIATEI,ACCORD6,ACCORDI,EMBARGO6,EMBARGOI,COLDWAR,UNSC,REGIOORG,GOVTPERM,INTERVEN1,I1CCC,P5,INTERVEN2,I2CCC,INTERVEN3,I3CCC,COLONY2,SAVING,TARGET,TATROOP,ACTIVE,FORCE,INTERPOS,STARINTE,ENDINTE,DISARM,STARDISA,ENDDISA,CIVILIAN,STARCIVI,ENDCIVI,HUMANAID,STARHUMA,ENDHUMA,NOFLY,STARFLY,ENDFLY,SAFEAREA,STARAREA,ENDAREA,ENFORCE,STARENFO,ENDENFO,LOST,STARLOST,ENDLOST,REGIME,STARREGI,ENDREGI,GROUNDFO,GROUNDNO,GROUNDPO,GROUNDPOA,GROUNDAR,GROUNDARA,AIRFORCE,VIOLAREA,COUNTTRO,IDTROOPS,COUNTARM,IDARMS,CONTRA0,CONTRA1,CONTRA2,CONTRA3,CONTRA4,CONTRA5,CONTRA6,CONTRA7,ENDVIOL,FATAL1,FATALITYIY,FATAL2IY,FATALPRE,LOSSES,NEWVIOL,NEWFATAL,DISLOCATE
Burundi 2001-2008,2001,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,6600000,6600000,1,0,1,0,1,0,0,0,2,2,2,South Africa,560,0,-88,-88,-88,-88,0,1,0,-88,1,1,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,1,700,11,11,25,25,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,349,5.54,1,24,0,-88,0
Burundi 2001-2008,2002,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,6700000,6700000,1,0,1,0,1,0,0,0,2,2,2,South Africa,560,0,-88,-88,-88,-88,0,1,0,-88,1,1,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,0,-88,-88,1,650,10,10,23,23,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,1576,4.32,1,24,0,-88,0
Burundi 2001-2008,2003,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,7000000,7000000,1,0,1,0,1,0,0,0,2,2,2,AU,2400,0,South Africa,560,-88,-88,0,1,0,-88,1,1,0,-88,-88,1,06/2003,04/12/2008,0,-88,-88,1,04/2003,31/12/2006,0,-88,-88,0,-88,-88,1,04/2003,04/12/2008,0,-88,-88,0,-88,-88,1,2870,41,41,103,103,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,1245,3.41,1,24,0,-88,0
Burundi 2001-2008,2004,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,7200000,7200000,1,0,1,0,1,0,0,0,2,2,2,UN,1014,0,AU,2400,-88,-88,0,1,0,-88,1,1,0,-88,-88,1,06/2003,04/12/2008,1,01/06/2004,31/12/2006,1,04/2003,31/12/2006,0,-88,-88,0,-88,-88,1,04/2003,04/12/2008,0,-88,-88,0,-88,-88,1,5650,78,78,202,202,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,679,1.86,1,24,0,-88,0
Burundi 2001-2008,2005,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,7400000,7400000,1,0,1,0,1,0,0,0,2,2,2,UN,1014,0,-88,-88,-88,-88,0,1,0,-88,1,1,0,-88,-88,1,06/2003,04/12/2008,1,01/06/2004,31/12/2006,1,04/2003,31/12/2006,0,-88,-88,0,-88,-88,1,04/2003,04/12/2008,0,-88,-88,0,-88,-88,1,5348,72,72,191,191,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,378,1.04,1,24,0,-88,0
Burundi 2001-2008,2006,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,7700000,7700000,1,0,1,0,1,0,0,0,2,2,2,UN,1014,0,-88,-88,-88,-88,0,1,0,-88,1,1,0,-88,-88,1,06/2003,04/12/2008,1,01/06/2004,31/12/2006,1,04/2003,31/12/2006,0,-88,-88,0,-88,-88,1,04/2003,04/12/2008,0,-88,-88,0,-88,-88,1,5153,67,67,184,184,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,185,0.51,1,24,0,-88,0
Burundi 2001-2008,2007,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,7900000,7900000,1,0,1,0,1,0,0,0,2,2,2,AU,2400,0,UN,1014,-88,-88,0,1,0,-88,1,1,0,-88,-88,1,06/2003,04/12/2008,1,01/06/2004,31/12/2006,0,-88,-88,0,-88,-88,0,-88,-88,1,04/2003,04/12/2008,0,-88,-88,0,-88,-88,1,2339,30,30,84,84,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,79,0.22,1,24,0,-88,0
Burundi 2001-2008,2008,BDI,516,287,"93, 434, 432, 528, 786, 9999",2,29/10/2001,2,04/12/2008,1,1,21/10/1993,1,04/12/2008,1,84,1,1,2,0,3,11239,28000,28000,8200000,8200000,1,0,1,0,1,0,0,0,2,2,2,AU,2400,0,-88,-88,-88,-88,0,1,0,-88,1,1,0,-88,-88,1,06/2003,04/12/2008,1,01/06/2004,31/12/2006,0,-88,-88,0,-88,-88,0,-88,-88,1,04/2003,04/12/2008,0,-88,-88,0,-88,-88,1,2345,29,29,84,84,0,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,3.84,220,8.15,1,24,0,-88,0
Central African Republic 2013-,2013,CAF,482,416,"86, 4201, 488, 3554, 3555, 3556, 4007, 5999, 1159, 9999",2,11/01/2013,1,0,-88,0,07/12/2009,1,0,-88,37,1,1,2,0,3,196,623000,623000,4500000,4500000,1,0,0,1,1,0,1,0,2,2,2,UN,1014,1,AU,2400,CEEAC,-88,1,1,0,-88,1,1,1,19/02/2013,-77,1,23/01/2013,-77,1,15/02/2013,-77,1,19/12/2013,-77,0,-88,-88,1,19/12/2013,-77,0,-88,-88,0,-88,-88,0,-88,-88,1,3900,87,87,6,6,-99,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,0.17,3115,8.80,1,-99,-88,-99,-99
Central African Republic 2013-,2014,CAF,482,416,"86, 4201, 488, 3554, 3555, 3556, 4007, 5999, 1159, 9999",2,11/01/2013,1,0,-88,0,07/12/2009,1,0,-88,37,1,1,2,0,3,196,623000,623000,4500000,4500000,1,0,0,1,1,0,1,0,2,2,2,UN,1014,1,AU,2400,France,220,1,1,0,-88,1,1,1,19/02/2013,-77,1,23/01/2013,-77,1,15/02/2013,-77,1,19/12/2013,-77,0,-88,-88,1,19/12/2013,-77,0,-88,-88,0,-88,-88,0,-88,-88,1,10219,227,227,16,16,-99,2,0,-88,0,-88,1,0,0,0,0,0,0,0,0,0.17,2736,7.50,1,-99,-88,-99,-99
