,LR,RF,GBM
academic,0.6885744362513343,0.8102880101972735,0.813493598552363
professional,0.6993145042518734,0.7635836301161938,0.7868315674080877
combined,0.6885744362513343,0.819552321692639,0.8169429857347288
all,0.6885744362513343,0.7787618809385233,0.8185841133791143
notrade,0.7074288422142453,0.8141396710925723,0.8314161008980966
nogdp,0.6993145042518734,0.812325340473309,0.8245242678799931
