,LR,RF,GBM
academic,0.7392574050896955,0.814142678347935,0.8093450146015854
professional,0.7334167709637047,0.8024614100959533,0.8043387567793074
combined,0.7392574050896955,0.8235294117647058,0.823529411764706
all,0.7392574050896955,0.8187317480183564,0.8518982060909469
notrade,0.7446895424836601,0.8206699346405227,0.8361928104575164
nogdp,0.7334167709637047,0.8277012932832707,0.8439716312056738
