,LR,RF,GBM
academic,0.8778202361278695,0.889203130826268,0.8959356709689281
professional,0.8778202361278695,0.8759304780787769,0.8545915123505248
combined,0.8778202361278695,0.9018266383726619,0.8775763589069092
all,0.8778202361278695,0.895264073957188,0.8856364262379259
notrade,0.8772157568517343,0.8898892748341654,0.8923793593287571
nogdp,0.8778202361278695,0.897555638152401,0.8956924680171832
