,LR,RF,GBM
academic,0.7392574050896955,0.803921568627451,0.8076762619941594
professional,0.7334167709637047,0.8087192323738006,0.8026700041718816
combined,0.7392574050896955,0.8168544013350022,0.8243637880684189
all,0.7392574050896955,0.8135168961201502,0.8352106800166875
notrade,0.7446895424836601,0.8290441176470588,0.8439542483660131
nogdp,0.7334167709637047,0.8243637880684189,0.8318731748018356
