,LR,RF,GBM
academic,0.7844183500144201,0.8469336688644731,0.8331751418186849
professional,0.7828051671847959,0.8206323121552496,0.815731558448595
combined,0.7844183500144201,0.8387047449263402,0.82828770611619
all,0.7733364493633729,0.844791558681225,0.8434561896166484
