,LR,RF,GBM
academic,0.8331426316827777,0.8664233576642335,0.8462615900572106
professional,0.8340501085026633,0.8360820674689288,0.799329256263563
combined,0.8331426316827777,0.8607220359045176,0.8183270862102979
all,0.8331820871966857,0.8739790885776287,0.8483724600512922
notrade,0.8338712813532957,0.8719618899475016,0.8480458876142329
nogdp,0.8340501085026633,0.86894851055435,0.8494772144407181
