,LR,RF,GBM
academic,0.6885744362513343,0.8198819301956164,0.8110562470137997
professional,0.6993145042518734,0.7894334228037154,0.7920819618265609
combined,0.6885744362513343,0.8087397727351685,0.8171197748651018
all,0.6885744362513343,0.8017943600513042,0.8415238646775687
notrade,0.7074288422142453,0.8273893629293655,0.8279410635684205
nogdp,0.6993145042518734,0.8185811618208554,0.8327920157770552
